Aquila,Aquila改
Ark Royal,Ark Royal改
Atlanta,Atlanta改
Bismarck,Bismarck改,Bismarck zwei,Bismarck drei
Brooklyn,Brooklyn改
C.Cappellini,C.Cappellini改,UIT-24,伊503
Colorado,Colorado改
Colorado,Colorado改
Commandant Teste,Commandant Teste改
Conte di Cavour,Conte di Cavour改,Conte di Cavour nuovo
De Ruyter,De Ruyter改
Fletcher,Fletcher改,Fletcher改 Mod.2,Fletcher Mk.II
G.Garibaldi,G.Garibaldi改
Gambier Bay,Gambier Bay改,Gambier Bay Mk.II
Gotland,Gotland改,Gotland andra
Graf Zeppelin,Graf Zeppelin改
Grecale,Grecale改
Helena,Helena改
Heywood L.E.,Heywood L.E.改
Honolulu,Honolulu改
Hornet,Hornet改
Houston,Houston改
Intrepid,Intrepid改
Iowa,Iowa改
Janus,Janus改
Javelin,Javelin改
Jean Bart,Jean Bart改
Jervis,Jervis改
Johnston,Johnston改
L.d.S.D.d.Abruzzi,L.d.S.D.d.Abruzzi改
Langley,Langley改
Libeccio,Libeccio改
Littorio,Italia
Luigi Torelli,Luigi Torelli改,UIT-25,伊504
Maestrale,Maestrale改
Maryland,Maryland改
Massachusetts,Massachusetts改
Nelson,Nelson改
Nevada,Nevada改,Nevada改 Mod.2
Northampton,Northampton改
Perth,Perth改
Pola,Pola改
Prinz Eugen,Prinz Eugen改
Ranger,Ranger改
Richelieu,Richelieu改
Rodney,Rodney改
Roma,Roma改
Salmon,Salmon改
Samuel B.Roberts,Samuel B.Roberts改,Samuel B.Roberts Mk.II
Saratoga,Saratoga改,Saratoga Mk.II,Saratoga Mk.II Mod.2
Scamp,Scamp改
Scirocco,Scirocco改
Sheffield,Sheffield改
South Dakota,South Dakota改
Tuscaloosa,Tuscaloosa改
U-511,U-511改,呂500
Victorious,Victorious改
Warspite,Warspite改
Washington,Washington改
Z1,Z1改,Z1 zwei
Z3,Z3改,Z3 zwei
Zara,Zara改,Zara due
Гангут,Октябрьская революция,Гангут два
Ташкент,Ташкент改
あきつ丸,あきつ丸改
まるゆ,まるゆ改
三日月,三日月改
三隈,三隈改
不知火,不知火改,不知火改二
五十鈴,五十鈴改,五十鈴改二
五月雨,五月雨改
伊13,伊13改
伊14,伊14改
伊168,伊168改
伊19,伊19改
伊201,伊201改
伊203,伊203改
伊26,伊26改
伊400,伊400改
伊401,伊401改
伊47,伊47改
伊58,伊58改
伊8,伊8改
伊勢,伊勢改,伊勢改二
佐渡,佐渡改
倉橋,倉橋改
八丈,八丈改
八幡丸,雲鷹,雲鷹改,雲鷹改二
冬月,冬月改
初春,初春改,初春改二
初月,初月改
初雪,初雪改
初霜,初霜改,初霜改二
初風,初風改
利根,利根改,利根改二
加古,加古改,加古改二
加賀,加賀改,加賀改二,加賀改二戊,加賀改二護
北上,北上改,北上改二
千代田,千代田改,千代田甲,千代田航,千代田航改,千代田航改二
千歳,千歳改,千歳甲,千歳航,千歳航改,千歳航改二
占守,占守改
卯月,卯月改
叢雲,叢雲改,叢雲改二
古鷹,古鷹改,古鷹改二
名取,名取改
吹雪,吹雪改,吹雪改二
国後,国後改
夏雲,夏雲改
夕張,夕張改,夕張改二,夕張改二特,夕張改二丁
夕暮,夕暮改
夕立,夕立改,夕立改二
夕雲,夕雲改,夕雲改二
多摩,多摩改,多摩改二
大井,大井改,大井改二
大和,大和改,大和改二,大和改二重
大東,大東改
大淀,大淀改
大潮,大潮改,大潮改二
大鯨,龍鳳,龍鳳改,龍鳳改二戊,龍鳳改二
大鳳,大鳳改
天城,天城改
天津風,天津風改,天津風改二
天霧,天霧改,天霧改二,天霧改二丁
天龍,天龍改,天龍改二
如月,如月改,如月改二
妙高,妙高改,妙高改二
子日,子日改
宗谷,宗谷(灯台補給船),宗谷(南極観測船)
対馬,対馬改
屋代,屋代改
山城,山城改,山城改二
山汐丸,山汐丸改
山雲,山雲改
山風,山風改,山風改二,山風改二丁
岸波,岸波改
峯雲,峯雲改
島風,島風改
嵐,嵐改
川内,川内改,川内改二
巻波,巻波改
巻雲,巻雲改,巻雲改二
平戸,平戸改
弥生,弥生改
御蔵,御蔵改
愛宕,愛宕改
扶桑,扶桑改,扶桑改二
択捉,択捉改
摩耶,摩耶改,摩耶改二
敷波,敷波改,敷波改二
文月,文月改,文月改二
旗風,旗風改
日向,日向改,日向改二
日振,日振改
日進,日進改,日進甲
早波,早波改
早潮,早潮改,早潮改二
早霜,早霜改
明石,明石改
春日丸,大鷹,大鷹改,大鷹改二
春雨,春雨改
春風,春風改
昭南,昭南改
時津風,時津風改
時雨,時雨改,時雨改二,時雨改三
暁,暁改,暁改二
曙,曙改,曙改二
最上,最上改,最上改二,最上改二特
有明,有明改
望月,望月改
朝日,朝日改
朝潮,朝潮改,朝潮改二,朝潮改二丁
朝雲,朝雲改
朝霜,朝霜改,朝霜改二
朝風,朝風改
朧,朧改
木曾,木曾改,木曾改二
村雨,村雨改,村雨改二
松,松改
松輪,松輪改
松風,松風改
桃,桃改
梅,梅改
榛名,榛名改,榛名改二,榛名改二乙,榛名改二丙
武蔵,武蔵改,武蔵改二
比叡,比叡改,比叡改二,比叡改二丙
水無月,水無月改
江風,江風改,江風改二
沖波,沖波改,沖波改二
浜波,浜波改
浜風,浜風改,浜風乙改
浦波,浦波改,浦波改二
浦風,浦風改,浦風丁改
海風,海風改,海風改二
涼月,涼月改
涼波,涼波改
涼風,涼風改
深雪,深雪改,深雪改二
清霜,清霜改,清霜改二,清霜改二丁
満潮,満潮改,満潮改二
漣,漣改
潮,潮改,潮改二
照月,照月改
熊野,熊野改,熊野改二,熊野航改二
熊野丸,熊野丸改
狭霧,狭霧改
玉波,玉波改
球磨,球磨改,球磨改二,球磨改二丁
瑞穂,瑞穂改
瑞鳳,瑞鳳改,瑞鳳改二,瑞鳳改二乙
瑞鶴,瑞鶴改,瑞鶴改二,瑞鶴改二甲
由良,由良改,由良改二
白雪,白雪改
白雲,白雲改
白露,白露改,白露改二
皐月,皐月改,皐月改二
睦月,睦月改,睦月改二
矢矧,矢矧改,矢矧改二,矢矧改二乙
石垣,石垣改
磯波,磯波改,磯波改二
磯風,磯風改,磯風乙改
神威,神威改,神威改母
神州丸,神州丸改
神通,神通改,神通改二
神風,神風改
神鷹,神鷹改,神鷹改二
祥鳳,祥鳳改
福江,福江改
秋月,秋月改
秋津洲,秋津洲改
秋雲,秋雲改,秋雲改二
秋霜,秋霜改
稲木,稲木改
竹,竹改
第三〇号海防艦,第三〇号海防艦改
第二十二号海防艦,第二十二号海防艦改
第四号海防艦,第四号海防艦改
第百一号輸送艦,第百一号輸送艦改
筑摩,筑摩改,筑摩改二
綾波,綾波改,綾波改二
羽黒,羽黒改,羽黒改二
翔鶴,翔鶴改,翔鶴改二,翔鶴改二甲
能代,能代改,能代改二
能美,能美改
舞風,舞風改
若葉,若葉改
荒潮,荒潮改,荒潮改二
菊月,菊月改
萩風,萩風改
葛城,葛城改
蒼龍,蒼龍改,蒼龍改二
薄雲,薄雲改
藤波,藤波改
衣笠,衣笠改,衣笠改二
親潮,親潮改,親潮改二
谷風,谷風改,谷風丁改
赤城,赤城改,赤城改二,赤城改二戊
足柄,足柄改,足柄改二
迅鯨,迅鯨改
速吸,速吸改
那智,那智改,那智改二
那珂,那珂改,那珂改二
酒匂,酒匂改
野分,野分改
金剛,金剛改,金剛改二,金剛改二丙
鈴谷,鈴谷改,鈴谷改二,鈴谷航改二
長月,長月改
長波,長波改,長波改二
長良,長良改
長門,長門改,長門改二
長鯨,長鯨改
阿武隈,阿武隈改,阿武隈改二
阿賀野,阿賀野改
陸奥,陸奥改,陸奥改二
陽炎,陽炎改,陽炎改二
隼鷹,隼鷹改,隼鷹改二
雪風,雪風改,丹陽,雪風改二
雲龍,雲龍改
雷,雷改
電,電改
霞,霞改,霞改二,霞改二乙
霧島,霧島改,霧島改二
霰,霰改,霰改二
青葉,青葉改
響,響改,Верный
風雲,風雲改,風雲改二
飛鷹,飛鷹改
飛龍,飛龍改,飛龍改二
香取,香取改
高波,高波改,高波改二
高雄,高雄改
鬼怒,鬼怒改,鬼怒改二
鳥海,鳥海改,鳥海改二
鳳翔,鳳翔改,鳳翔改二,鳳翔改二戦
鵜来,鵜来改
鹿島,鹿島改
黒潮,黒潮改,黒潮改二
龍田,龍田改,龍田改二
龍驤,龍驤改,龍驤改二